name,employees,headquarters_city,headquarters_state
AAPL,147000,Cupertino,California
GOOG,156000,Mountain View,California
TSLA,70000,Austin,Texas
AMZN,1335000,Seattle,Washington
MSFT,181000,Redmond,Washington
